wrong_team_api_id,correct_team_api_id,mode,note
2263,10124,alias,Riga FC duplicate provider id 2263 -> canonical 10124 (#526)
6424,25274,reattribute_if_cohabiting,ASKO Kara 25274 events mis-tagged to rival ASC Kara 6424 in CAFCL 2020-24 (#526)
4767,1544,reattribute_if_cohabiting,"Macau 1544 rows mis-tagged to Mação 4767 (Portuguese municipality, name collision) in WCQAS fixtures 1100381/1100382 (#53)"
22722,132,reattribute_if_cohabiting,"Chapecoense-sc 132 away lineup filed under phantom id 22722 (name null, epoch update timestamp) in BSA fixture 1492362"
